accuracy,loss,val_accuracy,val_loss
0.12161458283662796,3.187026023864746,0.3843750059604645,2.563093662261963
0.4609375,1.8813719749450684,0.8885416388511658,0.7663392424583435
0.7354166507720947,0.9118754267692566,0.9541666507720947,0.3096131384372711
0.8432291746139526,0.53903728723526,0.96875,0.17475660145282745
0.8799479007720947,0.41578495502471924,0.9697916507720947,0.13856373727321625
0.907031238079071,0.3229486048221588,0.9729166626930237,0.1100512221455574
0.9195312261581421,0.2796529531478882,0.9802083373069763,0.10128690302371979
0.9390624761581421,0.21630708873271942,0.981249988079071,0.08476758003234863
0.9434896111488342,0.19577652215957642,0.9802083373069763,0.08737669140100479
0.9489583373069763,0.17090974748134613,0.9760416746139526,0.084614597260952
0.9510416388511658,0.16317155957221985,0.9833333492279053,0.07903905212879181
0.9575520753860474,0.14321182668209076,0.9822916388511658,0.07898665964603424
0.9572916626930237,0.13772520422935486,0.9854166507720947,0.07397983223199844
0.9632812738418579,0.12357223778963089,0.9833333492279053,0.07207044959068298
0.9619791507720947,0.11794410645961761,0.9895833134651184,0.07090296596288681
0.9692708253860474,0.10536874085664749,0.984375,0.06932804733514786
0.9731770753860474,0.0939389169216156,0.9822916388511658,0.08115822821855545
0.973437488079071,0.08748854696750641,0.984375,0.07562119513750076
0.9768229126930237,0.08072568476200104,0.9864583611488342,0.07885304093360901
0.9705728888511658,0.09145689010620117,0.9854166507720947,0.07157447934150696
0.98046875,0.06456048041582108,0.984375,0.07857489585876465
